,Serial,Model,Target Timestamp,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,TARGET
80,1554481,model 20,2017-06-04 00:00:00,0.0,744.0,0.0,0.0,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1555490,model 13,2017-06-04 00:00:00,0.0,1255.0,2240.0,1185.0,1445.0,1824.0,2436.0,1238.0,546.0,1146.0,0.0,6.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,814.0
82,1558041,model 18,2017-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1612713,model 18,2017-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1625343,model 10,2017-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1554481,model 20,2017-06-11 00:00:00,744.0,0.0,0.0,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1555490,model 13,2017-06-11 00:00:00,1255.0,2240.0,1185.0,1445.0,1824.0,2436.0,1238.0,546.0,1146.0,814.0,6.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,783.0
87,1558041,model 18,2017-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1612713,model 18,2017-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1625343,model 10,2017-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
